-19,195,32,90,139,233,42,16,46,96,26,-26,49,-163,70,9,20,-198,364,103
-7,167,77,72,113,168,-28,0,-29,-71,19,-20,13,-131,-70,-2,45,-164,563,409
-12,343,11,163,186,148,15,6,15,39,32,-40,35,-294,39,8,32,-310,610,217
-16,343,9,255,192,180,82,11,87,107,33,-23,38,-297,97,1,22,-330,490,117
-14,274,9,521,209,248,89,18,113,125,39,6,38,-223,93,10,28,-296,583,171
-5,147,16,0,100,130,-22,1,-22,-42,15,37,20,-112,-42,0,20,-224,409,103
-8,123,88,120,97,96,11,9,9,-9,14,-1,35,-94,-12,9,30,-148,327,193
-6,96,112,76,96,142,-27,1,-28,-12,14,-8,13,-66,-21,9,57,-116,346,472
-8,138,91,67,108,122,11,2,22,24,18,-17,17,-104,22,10,28,-142,344,171
-28,160,68,46,108,174,61,13,66,69,17,-49,37,-147,64,10,14,-155,226,78
-9,110,140,55,94,101,0,0,-2,-25,13,-20,15,-83,-24,8,20,-118,333,103
-21,259,23,78,151,273,90,9,114,100,27,-54,34,-226,72,8,22,-232,378,117
-23,254,23,89,212,341,72,31,87,129,40,-32,58,-211,93,9,14,-237,589,78
-23,234,29,81,140,203,36,17,39,100,25,-42,30,-206,76,10,22,-221,336,117
-7,95,55,0,96,190,8,7,9,-27,14,44,35,-66,-25,9,30,-168,363,193
-6,102,78,119,101,229,-25,2,-27,-81,16,0,12,-70,-79,7,58,-130,527,477
-6,105,89,94,96,188,-9,3,-11,-53,14,-6,15,-75,-51,9,50,-128,425,446
-8,139,79,43,97,94,-20,2,-20,-58,14,-43,26,-109,-60,-7,14,-128,417,78
-8,164,109,41,110,150,-22,4,-22,-64,18,-44,21,-130,-65,6,30,-140,521,193
-24,191,42,72,136,153,55,21,72,73,25,-32,32,-166,43,8,22,-191,390,117
-25,155,46,60,113,106,53,42,75,72,19,-39,32,-137,40,8,14,-161,262,78
-20,150,44,49,110,246,57,14,81,86,18,-50,20,-128,60,9,30,-147,221,193
-19,112,39,70,178,234,-28,9,-32,-92,39,-12,40,-75,-89,7,14,-134,1010,78
-8,125,53,78,135,158,-32,-4,-35,-92,27,-11,44,-86,-88,-10,10,-138,756,66
-6,174,45,88,126,116,-21,2,-20,-10,23,-18,42,-134,-28,-2,36,-175,521,292
-6,224,28,108,141,202,42,3,53,85,26,-23,56,-179,55,6,36,-215,394,292
-6,238,26,116,142,283,68,3,88,110,26,-24,55,-193,74,8,32,-227,342,217
-6,271,20,110,163,183,26,3,31,40,30,-34,36,-220,30,6,32,-246,566,217
-6,279,18,136,164,273,72,3,83,86,30,-27,47,-228,73,9,32,-259,474,217
-7,261,22,119,153,240,40,4,48,85,28,-28,56,-213,65,8,22,-243,429,117
-5,139,26,0,103,188,7,2,7,48,16,69,40,-104,48,7,63,-231,272,489
-7,85,121,108,93,234,-28,2,-31,-63,13,2,12,-56,-63,7,51,-115,424,451
-7,49,130,0,77,124,5,1,5,-14,6,31,15,-27,-12,10,36,-116,172,292
-6,104,108,73,106,216,-30,4,-32,-56,18,-7,29,-71,-55,5,50,-121,515,446
-7,71,119,294,88,191,-20,3,-22,-53,11,15,14,-44,-57,8,50,-117,362,446
-5,113,64,79,104,237,-32,1,-36,-67,17,-15,12,-80,-65,6,57,-129,519,472
-5,103,61,276,101,232,-28,3,-30,-62,16,10,17,-70,-59,10,72,-141,496,502
-15,133,68,98,126,281,51,8,64,71,24,-2,40,-101,33,9,50,-155,387,446
-9,125,76,190,94,53,0,2,-1,-19,13,6,19,-97,-26,7,14,-158,318,78
-16,85,67,0,111,218,-13,6,-10,13,20,43,22,-60,-8,8,51,-158,419,451
-6,67,56,0,86,242,-17,3,-18,-66,10,76,10,-40,-65,7,54,-173,369,463
-6,139,51,181,108,236,-35,1,-37,-84,18,3,25,-103,-83,5,50,-166,571,446
