T2m,T850,T700,T500,T300,TD2m,Td_850,dTd_850,Td_700,dTd_700,Td_500,dTd_500,Td_300,dTd_300,Td2m,Wpow_10m,WpoW_850,WpoW_700,Wpow_500,Wpow_300,Tsm8,Vaiting,Tps8,Tps5,Tps850-Tps500,Tps0-Tps850,Total,sweat,Td0,Tsm7,Tsm0,dTd8,dTd0,dTd5,dTd7,TPS8-TPS7,TPS7-TPS5,Jefferson,TSM7+TSM5,Tps7,Tps0,dTd3,dTd300+dTd500,Tps850-TPS300,Tps700-TPS300,GUST,LF,CAPE0,CAPE250,CAPE90,VVEL925,VVEL850,VVEL700,VVEL500,VVEL300,dV3-5,dV5-8,dDIR3-5,dDIR5-8,U300,V300,U850,V850,U700,V700,U500,V500,U10,V10,maxVevel,minVevel,Si,HPBL,CEILING,AbsHumid,CLCT,CLCL,PMSL,Hbottom-low,Hbase-top,gradT0,gradT0*2,gradTd0*2,gradTd0,Lapl_PRMSL125,Lapl_PRMSL1.0,ClH200,ClH100,TotPrec,Nighttime,TunderYN,Longitude,Latitude,Eventtime,Station
4.25,3.55,-7.65,-24.35,-53.35,2.05,-6.63,10.88,-24.15,27.7,-29.76,22.11,-32.85,8.5,2.05,2.0,11.4,6.0,7.21,11.31,-1.89,91.55,23.4,30.49,-7.09,-222.36,97.25,1539.68,2.05,-21.5,3.15,10.88,2.2,22.11,27.7,1.83,-8.92,28.28,-56.9,21.57,-198.95,8.5,30.61,-13.58,-15.41,4.0,9.6,0.0,0.0,0.0,0.05,0.02,-0.18,-0.06,-0.05,4.47,5.1,0.95,-0.4,4.0,8.0,7.0,9.0,6.0,0.0,6.0,8.0,0.0,2.0,0.05,-0.18,3.0,172.0,22700.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.14,0.28,0.31,0.45,10.0,31.0,821.0,84.0,0.0,0,64,75.33,59.44,2021-05-14 16:13:00,0
3.15,-2.05,-11.55,-27.15,-50.15,2.35,2.28,0.87,-9.87,7.82,-32.95,21.4,-36.85,9.7,2.35,4.0,5.83,6.71,8.6,20.52,-2.49,185.65,20.25,27.0,-6.75,-219.31,146.25,3014.72,2.35,-15.46,2.75,0.87,0.8,21.4,7.82,0.46,-7.21,40.02,-53.31,19.79,-199.06,9.7,31.1,-21.28,-21.74,8.0,7.6,3.4,13.8,0.3,0.08,-0.02,-0.05,0.34,0.01,12.21,2.83,-0.9,-0.99,-5.0,-15.0,5.0,-3.0,6.0,3.0,7.0,-15.0,4.0,0.0,0.34,-0.05,0.0,593.0,650.0,0.0,100.0,100.0,1003.0,1140.0,2370.0,0.34,0.25,0.24,0.24,4.0,36.0,643.0,0.0,0.7999999999999998,0,64,60.11,63.07,2021-05-14 19:11:00,0
19.15,14.35,0.35,-18.95,-47.85,7.85,2.91,16.24,6.19,8.16,-7.63,7.98,-25.12,6.17,7.85,2.24,10.63,11.31,13.89,14.32,6.23,124.95,37.99,39.31,-1.32,-233.13,86.25,1373.03,7.85,-3.73,13.5,16.24,11.3,7.98,8.16,-0.01,-1.31,46.26,-26.67,38.0,-195.13,6.17,14.15,-6.93,-6.93,4.0,3.5,0.0,156.3,16.8,0.05,-0.1,-0.2,0.25,-0.05,1.41,4.0,0.72,1.0,-7.0,-6.0,8.0,-7.0,8.0,-8.0,12.0,-6.0,2.0,1.0,0.25,-0.2,19.0,177.0,22700.0,0.01,19.0,0.0,1020.0,0.0,0.0,0.22,0.21,0.24,0.44,21.0,32.0,479.0,69.0,0.0,0,64,75.53,59.1,2021-05-14 19:22:00,0
2.35,3.45,-7.85,-24.35,-54.25,1.45,-8.65,11.0,-19.99,23.44,-21.28,13.43,-30.59,6.24,1.45,3.16,14.76,12.08,12.53,17.49,-2.05,95.65,23.18,31.04,-7.86,-222.65,96.15,1618.22,1.45,-19.57,1.9,11.0,0.9,13.43,23.44,1.47,-9.33,30.14,-50.64,21.71,-199.46,6.24,19.68,-12.55,-14.02,6.0,10.5,0.0,0.0,0.0,0.25,-0.01,-0.1,-0.18,0.07,5.0,2.24,0.71,0.3,11.0,15.0,7.0,13.0,5.0,11.0,6.0,15.0,-1.0,3.0,0.25,-0.18,1.0,247.0,22700.0,0.0,20.0,0.0,1012.0,0.0,0.0,0.19,0.49,0.49,0.85,16.0,27.0,558.0,219.0,0.4,0,64,74.46,57.56,2021-05-14 19:37:00,0
19.65,15.45,0.55,-17.75,-47.15,4.75,2.93,16.72,11.04,4.41,-19.8,20.35,-24.99,7.24,4.75,1.41,5.0,8.94,10.44,14.14,7.09,140.65,39.6,39.05,0.55,-234.67,83.95,1039.76,4.75,-1.66,12.2,16.72,14.9,20.35,4.41,-1.54,2.09,48.37,-29.58,41.14,-195.07,7.24,27.59,-6.3,-4.76,3.0,5.8,0.0,4.4,0.0,-0.14,-0.46,-0.41,-0.19,0.02,4.12,6.0,-0.75,-0.97,-3.0,-2.0,4.0,-3.0,8.0,-4.0,10.0,-2.0,1.0,-1.0,0.02,-0.46,5.0,34.0,22700.0,0.01,40.0,0.0,1023.0,3730.0,9110.0,0.27,0.31,0.24,0.17,3.0,19.0,470.0,213.0,0.0,0,64,81.31,55.34,2021-05-14 21:01:00,0
9.25,5.05,-3.85,-20.05,-49.25,4.65,1.65,7.6,2.23,2.82,-6.79,2.94,-25.61,5.56,4.65,3.16,16.28,22.67,29.41,22.67,1.25,169.95,27.88,39.09,-11.21,-225.53,104.15,2007.23,4.65,-5.26,6.95,7.6,4.6,2.94,2.82,-6.28,-4.93,41.69,-26.78,34.16,-197.65,5.56,8.49,-15.05,-8.77,7.0,12.7,0.0,13.6,2.3,-0.02,0.05,0.04,0.08,0.04,9.0,13.93,0.64,0.38,-17.0,-17.0,11.0,-12.0,17.0,-15.0,24.0,-17.0,-1.0,-3.0,0.08,-0.02,2.0,776.0,700.0,0.01,91.0,61.0,1014.0,2530.0,3070.0,1.07,1.22,0.31,0.4,15.0,47.0,298.0,156.0,0.0,1,64,68.03,60.4,2021-05-15 05:34:00,0
8.05,5.65,-3.45,-19.95,-49.05,3.65,3.7,4.35,4.91,0.74,-5.91,2.46,-26.45,6.5,3.65,4.12,16.28,21.26,25.0,21.4,3.47,198.05,31.61,39.4,-7.79,-229.61,119.55,2555.39,3.65,-3.82,5.85,4.35,4.4,2.46,0.74,-4.88,-2.92,46.35,-25.0,36.49,-198.0,6.5,8.96,-11.57,-6.7,7.0,14.4,0.0,2.0,0.7,0.23,0.47,0.14,-0.06,0.04,7.28,9.49,-0.02,0.93,-15.0,-17.0,11.0,-12.0,16.0,-14.0,20.0,-17.0,-1.0,-4.0,0.47,-0.06,5.0,615.0,2690.0,0.01,100.0,1.0,1015.0,3660.0,8380.0,1.16,1.16,0.59,0.62,14.0,32.0,298.0,121.0,0.0,1,64,68.53,60.52,2021-05-15 05:55:00,0
31.25,14.75,0.85,-19.25,-47.45,5.05,16.41,14.84,5.26,9.49,-6.25,7.1,-29.95,10.7,5.05,5.1,8.25,10.0,12.73,9.43,7.33,127.15,39.81,39.09,0.72,-231.65,94.25,1425.83,5.05,-3.89,18.15,14.84,26.2,7.1,9.49,1.78,-1.06,47.74,-26.69,38.03,-191.84,10.7,17.79,-5.56,-7.34,10.0,-2.1,0.0,415.0,247.5,-0.1,-0.11,0.07,0.03,-0.11,4.12,7.07,0.42,-0.44,-9.0,-8.0,8.0,-2.0,8.0,-6.0,9.0,-8.0,5.0,-1.0,0.07,-0.11,-1.0,3813.0,22700.0,0.01,36.0,0.0,1017.0,0.0,0.0,0.35,0.4,0.26,0.36,14.0,30.0,693.0,508.0,0.0,1,64,73.08,57.24,2021-05-15 08:20:00,0
7.15,-1.75,-4.85,-20.65,-47.95,1.25,-3.4,10.55,-5.59,3.84,-9.83,4.98,-28.54,7.89,1.25,2.0,10.0,26.17,31.89,31.62,-7.03,145.75,15.7,37.57,-21.87,-213.94,86.55,1516.63,1.25,-6.77,4.2,10.55,5.9,4.98,3.84,-16.04,-5.84,27.9,-29.91,31.74,-198.24,7.89,12.87,-29.03,-12.99,7.0,15.8,141.8,19.3,7.8,-0.02,0.14,0.13,0.09,-0.08,3.61,22.2,-0.21,0.58,-21.0,-18.0,6.0,-8.0,18.0,-19.0,24.0,-18.0,0.0,-2.0,0.14,-0.08,3.0,1169.0,1090.0,0.01,100.0,100.0,1015.0,990.0,1300.0,0.86,1.36,0.95,0.95,43.0,32.0,249.0,228.0,0.0,1,64,67.56,61.03,2021-05-15 08:30:00,0
3.25,-4.05,-13.95,-29.35,-46.25,1.05,2.67,0.58,-5.74,1.69,-16.94,2.99,-58.61,29.26,1.05,5.1,12.0,9.85,8.6,16.55,-4.34,223.25,17.04,25.61,-8.57,-215.95,150.65,3383.96,1.05,-14.79,2.15,0.58,2.2,2.99,1.69,-1.31,-7.26,42.18,-45.64,18.36,-198.91,29.26,32.25,-29.86,-28.54,12.0,5.5,0.0,137.9,8.0,0.11,0.2,-0.23,-0.49,-0.03,10.0,9.9,-0.92,0.87,7.0,7.0,12.0,0.0,9.0,4.0,5.0,7.0,5.0,1.0,0.2,-0.49,14.0,1134.0,930.0,0.0,100.0,100.0,997.0,4370.0,5060.0,0.57,1.14,0.3,0.46,22.0,41.0,579.0,415.0,2.2,1,64,61.47,62.58,2021-05-15 08:34:00,0
