11,15,16,11,6,22,26,29,31,23,25,33,-18,45,120,18,2,493,14,17,21,27,19,2,-14,14,50,227,48,46,0,6,368,551
17,18,18,16,8,16,20,22,34,28,25,-1,-23,54,64,14,10,500,11,13,18,29,18,34,48,23,48,149,48,43,0,11,163,650
14,15,16,13,8,14,16,21,34,26,23,-43,-114,30,64,12,2,478,10,13,19,27,17,49,28,4,54,155,43,45,0,11,116,494
15,16,16,14,8,18,19,22,28,24,24,-19,-36,83,111,16,8,500,12,14,18,27,7,25,42,12,51,230,44,26,0,11,0,516
13,15,17,12,7,10,13,23,24,28,29,-49,-115,34,71,13,0,474,9,11,14,21,-1,8,16,9,52,89,42,50,1091,9,289,421
22,25,25,21,10,20,22,27,36,24,26,-37,-108,50,68,20,9,478,15,16,18,28,-5,11,23,22,51,207,43,55,668,10,327,387
14,16,18,13,7,18,22,24,21,29,29,-4,18,84,96,22,6,503,16,13,15,16,-7,24,-26,17,53,300,52,21,0,2,327,1092
18,19,20,16,9,21,23,20,31,24,25,-17,-45,98,75,22,4,494,17,19,22,29,11,40,64,9,50,190,47,28,1161,6,368,590
9,11,14,9,4,8,10,11,14,32,34,-37,-76,58,83,14,3,492,11,11,9,12,3,3,33,8,46,170,43,71,16,9,138,714
14,16,17,13,7,17,18,16,20,25,26,-5,-61,87,88,19,2,502,15,16,17,19,-18,6,7,5,50,212,48,28,0,5,327,368
10,13,13,9,5,18,19,21,26,28,28,26,-37,66,175,16,2,489,13,15,19,22,4,-2,-1,7,50,124,44,37,0,9,0,245
14,15,17,13,7,15,16,20,36,25,26,-7,-82,87,89,15,5,478,12,14,17,28,1,-15,-8,7,49,123,42,72,740,10,368,525
17,20,20,16,9,17,20,18,20,28,26,-41,-118,8,73,36,10,459,25,24,23,28,6,-3,-15,1,50,-44,33,88,354,13,368,294
16,17,18,15,8,13,13,23,30,25,25,-40,-107,48,74,12,4,476,9,12,17,28,4,17,13,19,60,306,48,2,2385,7,138,567
17,18,19,16,8,23,26,25,23,26,27,-8,-71,43,99,22,5,497,18,20,19,20,-10,21,12,12,56,385,50,-9,0,3,221,1028
18,20,20,18,10,17,22,19,26,26,26,-37,-125,69,59,23,8,497,18,17,16,20,2,3,28,9,32,114,39,120,0,16,0,300
17,18,19,16,8,15,17,31,41,24,25,-39,-106,18,87,15,1,492,13,17,24,34,2,7,24,4,51,214,48,47,0,8,413,509
14,15,16,13,7,12,12,13,33,24,26,-42,-128,29,62,9,1,488,7,9,13,24,0,9,7,5,52,208,47,27,500,7,253,583
15,17,17,15,7,16,17,18,18,23,24,-17,-62,64,97,21,3,501,16,16,18,22,15,36,13,6,51,190,49,24,0,3,0,648
16,18,19,16,7,13,16,18,33,27,23,-47,-96,34,79,23,8,490,17,15,18,27,10,22,20,11,45,18,40,71,68,12,221,617
16,19,20,15,8,11,13,20,22,24,23,-39,-77,76,110,12,3,505,9,10,14,19,12,51,28,19,52,164,50,1,0,4,221,887
15,16,18,14,8,15,22,36,45,22,23,-38,-97,13,71,24,5,487,20,24,35,45,9,24,57,-9,24,35,13,197,219,23,116,244
11,13,13,9,5,11,12,16,23,23,27,-4,-76,67,84,10,1,473,7,8,9,15,5,16,-8,4,46,88,38,70,2951,11,327,481
14,15,17,14,7,16,19,21,19,21,23,48,-18,124,135,19,4,506,16,18,22,23,-4,23,32,7,48,116,47,11,0,3,368,402
22,23,23,21,11,21,27,27,30,24,23,-15,-23,111,84,19,5,513,16,17,18,22,0,-17,18,24,52,316,48,0,245,4,163,941
15,17,17,15,8,13,14,15,20,26,25,-47,-137,6,69,14,2,503,11,12,14,18,3,13,18,8,49,238,48,19,230,6,221,869
24,27,27,23,10,19,22,32,38,27,28,-1,-51,113,187,19,10,515,12,15,21,29,-11,-11,-14,42,55,370,48,-34,0,3,289,978
15,18,18,15,8,13,19,20,21,31,30,-45,-125,39,100,13,3,497,12,15,18,25,25,35,-2,5,50,154,46,36,156,7,190,270
10,15,16,10,5,17,24,29,44,27,27,-8,-28,14,80,13,5,499,10,11,16,24,4,5,9,22,53,329,52,60,19,7,51,836
