5,9,10,7,3,9,9,4,6,18,28,57,52,64,98,10,5,507,8,8,8,11,13,20,38,-3,32,13,36,119,0,11,0,0
7,14,14,11,5,13,16,14,16,25,25,113,72,84,128,11,5,510,9,10,11,14,4,-9,16,11,43,46,36,119,0,12,0,0
5,9,10,7,4,5,10,19,21,25,28,16,-18,10,134,7,1,499,3,5,10,13,23,30,11,3,48,133,48,122,0,6,290,726
9,18,21,13,7,14,16,19,27,27,27,8,-34,73,108,14,6,496,11,11,15,24,-1,0,29,14,39,54,40,110,0,16,0,318
11,17,17,13,6,9,9,10,42,31,26,-21,-101,27,66,11,3,479,7,8,12,24,36,87,109,5,57,91,46,55,97,17,254,508
15,19,20,16,11,16,16,16,18,30,30,-42,-119,47,56,15,7,471,12,13,15,23,-4,22,1,13,58,202,44,23,1325,14,369,490
11,16,16,14,9,11,13,20,54,32,34,-49,-110,25,67,17,2,468,14,15,20,36,-7,-2,32,3,35,71,28,150,542,24,191,325
5,7,9,5,3,3,6,16,35,36,35,-28,-61,45,68,8,2,482,6,8,17,30,22,32,22,-6,16,-221,15,196,0,23,80,54
11,17,17,13,7,21,20,18,18,27,28,54,40,60,94,20,8,498,15,11,14,16,0,-21,14,6,53,260,50,90,0,4,413,723
8,15,16,12,6,16,19,22,28,27,27,83,16,74,94,15,5,500,11,15,19,21,-13,-24,4,14,54,266,47,43,0,3,0,648
11,15,16,14,9,13,13,21,46,31,31,-44,-132,34,43,14,2,486,12,14,20,35,2,16,39,-5,32,13,28,143,0,18,254,200
8,14,14,12,6,14,12,14,27,27,29,14,-33,67,81,18,8,504,12,11,12,20,17,31,16,-1,40,154,37,145,0,16,0,195
12,19,20,16,8,15,16,18,18,23,24,27,21,40,97,13,5,505,10,12,13,14,-10,2,-4,18,53,253,52,23,19,1,413,995
5,11,12,9,3,11,13,12,17,28,30,45,-17,62,115,13,3,509,10,11,11,14,11,43,43,3,48,222,46,74,0,10,0,776
10,14,15,12,2,6,16,28,28,25,26,-17,-42,6,132,8,3,505,8,9,14,24,29,39,-6,0,46,164,49,86,0,10,413,1024
6,11,11,7,4,9,12,21,31,26,26,4,-38,37,85,6,1,503,5,8,18,29,9,35,42,3,47,210,48,42,0,5,117,730
6,13,15,7,3,7,9,13,35,26,24,1,-56,28,99,12,3,498,8,3,13,27,45,127,18,-5,31,-62,36,122,0,19,328,651
4,11,12,9,3,7,7,12,35,27,26,-16,-94,37,97,10,3,487,4,6,11,26,5,-2,-2,8,49,3,45,68,478,12,290,215
4,9,9,7,3,4,5,8,19,33,31,-38,-123,28,53,7,3,477,6,4,8,17,18,37,38,-6,39,-162,29,112,0,13,0,190
15,21,21,17,8,17,20,26,21,28,27,36,-38,78,67,12,5,493,11,12,15,17,-3,39,78,13,55,258,50,17,106,4,328,653
5,9,10,6,3,6,9,13,18,30,32,16,-62,33,100,13,2,499,9,9,13,17,43,89,36,0,52,210,47,60,0,5,254,478
12,20,20,16,9,17,21,20,25,25,27,33,-51,59,76,20,4,508,15,15,15,15,32,93,60,-3,41,142,39,92,0,11,0,775
10,18,18,15,8,17,21,23,29,24,24,55,-26,70,88,20,6,517,17,17,19,24,8,34,-13,3,38,142,38,79,0,10,0,0
14,19,19,17,11,16,23,25,29,26,25,0,-87,30,78,17,1,507,15,18,22,28,-11,-19,0,8,49,159,50,32,0,7,290,729
